Beteiligte;Titel_Sammlung;Objektbezeichnung;InvNr;Jahr_von;Jahr_bis;Datierung;Gattung;Geogr_Bezug;Maße;Material;Beschriftung;Verw_Institution;Sammlungsbereich;Akt_Standort;Beschreibung_Notizen
"Carl Friedrich Mylius; Kein Eintrag, T.F.? siehe Signatur recto, unten rechts auf der fotografierten Zeichnung";Frankfurter Quellwasserleitung, Sammelgalerie, nach einer Zeichnung;Architektur, Industrie;C29313;1855;1875;um 1865;Fotografie;Frankfurt am Main;"Bildmaß: 26 x 22,7 cm; Blattmaß: 30,3 x 26,5 cm; Objektmaß: 53 x 36,1 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, oben links auf Original-Unterkarton: ""No 11032."" (Bleistift, ausradiert, sehr schlecht lesbar)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Planungen für die 70 Kilometer lange Leitung wurden 1869 begonnen, die Inbetriebnahme erfolgte 1873._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 249)"
Carl Friedrich Mylius, (?), Objekt ist Geschenk von C. F. Mylius (Inventarbuch C 03, S. 1);Frankfurt am Main vom Mühlberg gesehen mit der Frankfurt-Offenbacher Eisenbahn;Stadtansicht;C02296;1845;1865;um 1855;Druckgrafik oder Handzeichnung;Frankfurt am Main;"Blattmaß: 17,9 x 30,5 cm; Objektmaß: 36,4 x 53 cm Passepartout-Karton";"Passepartout-Karton; Papier; Lithographie (Lithographie mit Tonplatte lt. Inventarbuch C 03, S. 1), Ton-Lithographie (Karteikarte); Bleistiftzeichnung (Katalog Frankfurts demokratische Moderne und Leopold Sonnemann, 2009, Kat. B 102)";;Historisches Museum Frankfurt, Frankfurt am Main;Grafische Sammlung;Graphische Sammlung;
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Ansicht von Frankfurt und Sachsenhausen vom Mühlberg;Stadtansicht;C27027;1851;1860;1860;Fotografie;Frankfurt am Main;"Bildmaß: 19,9 x 27 cm; Objektmaß: 26,6 x 36,4 cm";"Papier; auf Papier aufgezogen; getont; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Häuser und Gärten im Vordergrund befinden sich am Mühlberg und bilden den Stadtrand von Sachsenhausen zum damals noch selbständigen Dorf Oberrad. Deutlich sichtbar die Türme des Doms und der Kirchen der Innenstadt, im Hintergrund der Taunus. Vorne rechts die Häuser der Schönen Aussicht östlich der Alten Brücke. Dort wohnte Arthur Schopenhauer bis zu seinem Tod 1860._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 76)_x000D_
_x000D_
Auffallend sind starke Retuschen z.B. an den Fensterläden des Hauses unten mitte, an der Paulskirche und zur Konturierung der hinteren Stadtsilhouette, dabei ist nicht erkennbar, ob diese Retuschen auf dem Positiv oder auf den Negativ vorgenommen wurden (Februar 2014)"
Carl Friedrich Mylius;Blick auf die Alte Brücke von Südosten, im Hintergrund der Dom, zweiteilige zusammengesetzte Fotografie;Stadtansicht, Stadttopographie;C15491;1861;1870;1862;Fotografie;Frankfurt am Main-Altstadt;"Bildmaß: 21,6 x 28,5 cm die linke Fotografie, Breite variiert um ca. 0,3 mm (unten breiter); Bildmaß: 21,6 x 29,1 cm die rechte Fotografie, Breite variiert um ca. 0,3 mm (oben breiter); Bildmaß: 21,6 x 57,4 cm die zusammengesetzte Fotografie; Blattmaß: 22";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;
Carl Friedrich Mylius;Alte Brücke und Frankfurter Ufer von Süd-Osten, mit dem 1890 stillgelegten Pumpwerk;Stadtansicht;C29105;1861;1870;1865;Fotografie;Frankfurt am Main-Altstadt;"Bildmaß: 22 x 29 cm; Blattmaß: 27 x 34,2 cm; Objektmaß: 36,2 x 53,1 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;
Carl Friedrich Mylius;Blick auf Frankfurt vom Sachsenhäuser Ufer aus mit Eisernem Steg und eingerüstetem Domturm im Hintergrund;Stadtansicht;Ph20519;1867;1877;nach 1867;Fotografie;Frankfurt am Main-Altstadt;"Bildmaß: 15,3 x 23,3 cm; Bildmaß: 16,5 x 23,9 cm mit schwarzer Umrandung; Blattmaß: 35,3 x 24,5 cm zusammen mit Ph20520 auf einem Blatt; Blatt unregelmäßig beschnitten";"auf festem Papier aufgezogen; Papier; Albuminabzug";"recto, unten mitte: ""Frankfurt am Main."" (schwarze Tinte, verblasst)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;
Carl Friedrich Mylius;Blick auf die Alte Brücke von Südosten, im Hintergrund der Dom, zweiteilige zusammengesetzte Fotografie;Stadtansicht, Stadttopographie;C30994;1861;1870;1862;Fotografie;Frankfurt am Main-Altstadt;"Bildmaß: 23,1 x 27,2 cm die linke Fotografie; Bildmaß: 23,1 x 27,8 cm die rechte Fotografie, die Breite differenziert um ca. 0,5 cm; Bildmaß: 23,1 x 55 cm die zusammengesetzte Fotografie, die Breite differenziert um ca. 0,5 cm; Blattmaß: 30,8 x 61,5 cm; O";"auf Karton aufgezogen; Papier; getont; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Gliederung Medienstation_x000D_
_x000D_
Der Main_x000D_
Brücken	B 390, 1_x000D_
Hafenverlegung Westhafen	B 390, 2_x000D_
Bahnhöfe und Hauptbahnhof	B 390, 3_x000D_
Kanalarbeiten	B 390,4_x000D_
_x000D_
Altstadt_x000D_
Arbeiterstadtteil	B 390,5_x000D_
Erschließung		B 390, 6_x000D_
_x000D_
Außenstadt	B 390,7_x000D_
_x000D_
Citybildung	B 390, 8_x000D_
Schillerplatz_x000D_
Rossmarkt_x000D_
Kaiserstraße_x000D_
_x000D_
Industrialisierung	B 390, 9_x000D_
_x000D_
Eingemeindungen	 B 390, 10_x000D_
Bornheim_x000D_
Bockenheim_x000D_
Oberrad_x000D_
Niederrad"
Carl Friedrich Mylius;Ansicht von Frankfurt von Sachsenhausen aus, mit Eisernem Steg und eingerüstetem Domturm im Hintergrund;Stadtansicht;C29118;1867;1877;nach 1867;Fotografie;Frankfurt am Main-Altstadt;"Bildmaß: 22,7 x 31,5 cm; Blattmaß: 27 x 35,8 cm; Objektmaß: 36 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten mitte rechts: ""erster Abdruck für Frau Bolongaro."" (schwarze Feder, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das Frankfurter Mainufer nach der Errichtung des des Eisernen Stegs, um 1870. Das Mainufer diente an vielen Stellen als Lagerplatz für Baumaterial._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 26, zu der Variante Ph20519)"
Carl Friedrich Mylius;Der Dom St. Bartholomäus vor dem Brand von 1867, von Westen;Architektur, Stadttopographie;C19953;1857;1867;vor 1867;Architekturfotografie;Frankfurt am Main-Altstadt;"Bildmaß: 21,9 x 17 cm; Blattmaß: 24,1 x 19,3 cm; Objektmaß: 53 x 36,6 cm Passepartout-Karton";"Papier; Passepartout-Karton; auf Karton aufgezogen; Albuminabzug";"recto, unten, unter Fotografie auf Original-Kaschierkarton: ""Dom zu Frkfrt M., vor dem Brande 1867"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;"Mylius hat aus gleicher Perspektive vom Turm der Katharinenkirche aus mehrere Aufnahmen hinereinander gemacht, die sich in dem weitergewanderten Schatten unterscheiden._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 44, zu dem identischen Motiv in Privatbesitz)"
Carl Friedrich Mylius;Ansicht des Mainufers, Tiefstand des Mains;Stadtansicht;C09193;1861;1870;1869;Fotografie;Frankfurt am Main-Altstadt;"Bildmaß: 17,5 x 23,3 cm; Blattmaß: 18,6 x 23,9 cm; Objektmaß: 53 x 36,6 cm";"auf Karton aufgezogen; Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;
