Beteiligte;Objektbezeichnung;InvNr;Foto neu vorhanden?;Bild Nr neu;Bild bearbeitet?;Jahr_von;Jahr_bis;Datierung;Geogr_Bezug;Gattung;Maße;Material;Beschriftung;Verw_Institution;Sammlungsbereich;Akt_Standort;;Titel_Sammlung;Beschreibung_Notizen;unsere Notizen;OSM (Koordinaten);URL 1;URL 2;Foto von ;;;
Carl Friedrich Mylius, (?), Objekt ist Geschenk von C. F. Mylius (Inventarbuch C 03, S. 1);Stadtansicht;C02296;;;;1845;1865;um 1855;Frankfurt am Main;Druckgrafik oder Handzeichnung;"Blattmaß: 17,9 x 30,5 cm; Objektmaß: 36,4 x 53 cm Passepartout-Karton";"Passepartout-Karton; Papier; Lithographie (Lithographie mit Tonplatte lt. Inventarbuch C 03, S. 1), Ton-Lithographie (Karteikarte); Bleistiftzeichnung (Katalog Frankfurts demokratische Moderne und Leopold Sonnemann, 2009, Kat. B 102)";;Historisches Museum Frankfurt, Frankfurt am Main;Grafische Sammlung;Graphische Sammlung;;Frankfurt am Main vom Mühlberg gesehen mit der Frankfurt-Offenbacher Eisenbahn;;;;;;;;;
Carl Friedrich Mylius;Dokumentarfotografie, Stadttopographie;C02737;ja;;;1851;1860;September 1860;Frankfurt am Main-Eckenheim, Hauptfriedhof (Grab Arthur Schopenhauer);Dokumentarfotografie;"Bildmaß: 23,4 x 18,8 cm; Objektmaß: 52,8 x 36 cm";"Papier; Albuminabzug";"auf Kaschierkarton unter dem Foto: ""Grab von Arthur Schopenhauer auf dem Frankfurter Kirchhof, photog. gleich nach dem Begräbniss. Er starb 21 Sept. 1860"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Grab von Arthur Schopenhauer auf dem Frankfurter Kirchhof (Hauptfriedhof), fotografiert gleich nach dem Begräbnis. Schopenhauer starb am 21. September 1860;"Mylius hat dieses Grab auf dem Hauptfriedhof unmittelbar nach dem Begräbnis im September 1860 photographiert. Anlass dürfte neben der Popularität des Philosophen auch die persönliche Begegnung mit ihm gewesen sein. Mylius hatte Schopenhauer zwei Jahre zuvor portraitiert und bei dieser Gelegenheit dessen schwierigen Charakter kennengelernt. 
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 189)";;50.13324, 8.68478;;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C02740;nein;;;1861;1870;1869;Frankfurt am Main-Innenstadt, Klapperfeld (Landwirtschaftliche Halle);Architekturfotografie;"Bildmaß: 21,3 x 30,6 cm; Objektmaß: 36 x 53 cm";"Papier; Albuminabzug";Landwirtschaftliche Halle im Klapperfeld;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die Landwirtschaftliche Halle im Klapperfeld, erbaut 1869, abgerissen 1881;"In der östlichen Innenstadt im Jahr 1869 gebaut, wurde die Halle 1881 im Zusammenhang mit der Verlängerung der Zeil abgerissen und am Ostendplatz neu errichtet. Sie diente als Unterkunft für bis zu 550 Pferde und hatte damit Bedeutung für den traditionellen Frankfurter Pferdemarkt, den der 1860 gegründete Landwirtschaftliche Verein wiederbelebt hatte.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 183, zu der Variante in Privatbesitz)";1881 im Zusammenhang mit der Verlängerung der Zeil abgerissen und am Ostendplatz neu errichtet;;;;;;;
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Architektur, Stadttopographie;C02747;nein;;;1881;1890;April 1881;Frankfurt am Main-Westend;Fotografie;"Bildmaß: 22,5 x 29,7 cm; Objektmaß: 36,2 x 52,7 cm";"Papier; Albuminabzug";"laut Beschriftung unten, auf Kaschierkarton, ist die Fotografie in nur zwei Exemplaren vorhanden: ""Das Hauptgebäude der Patent= u. Musterschutz=Ausstellung (entworfen von Archt. Linnemann) im Bau begriffen. Aufgenommen im Apl. 1881 von C. F. Mylius (existiert nur in 2 Exemplaren)"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Das Hauptgebäude der Allgemeinen Deutschen Patent- und Musterschutz-Ausstellung zu Frankfurt 1881, im Bau begriffen;"Das hölzerne Ausstellungsgebäude wurde eigens für die Ausstellung errichtet, auf der Handelsprodukte gezeigt wurden, die zum Patent- oder Musterschutz angemeldet waren.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 276)";existiert heute nicht mehr;;;;;;;
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Architektur, Stadttopographie;C02748;nein;;;1881;1890;April 1881;Frankfurt am Main-Westend;Fotografie;"Bildmaß: 30,6 x 24,8 cm; Objektmaß: 52,8 x 36,3 cm";"Papier; Albuminabzug";"laut Beschriftung unten, auf Kaschierkarton, ist die Fotografie in nur zwei Exemplaren vorhanden: ""Das Innere des Hauptbaues d. Patent= u. Musterschutz=Ausstellung, im Bau begriffen Apl. 1881 (nur in 2 Exempl. vorhanden)"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Das Innere des Hauptbaues der Allgemeinen Deutschen Patent- und Musterschutz-Ausstellung zu Frankfurt 1881, im Bau begriffen;"Der Entwurf für die Halle stammt von dem Frankfurter Architekten und Glasmaler Alexander Linnemann, der bereits an der Innengestaltung beim Wiederaufbau des Doms beteiligt war
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 277). Ganz unten links ist ein kleines Schild mit ""Zoologischer Garten"" (Rest nicht entzifferbar).";s.oben;;;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C02749;ja;;;1861;1870;1870;Frankfurt am Main-Altstadt, Judengasse;Architekturfotografie;"Bildmaß: 21,1 x 28,2 cm; Objektmaß: 36,5 x 53 cm Passepartout-Karton";"auf Karton aufgezogen; Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die Judengasse nach der Niederlegung der westlichen Häuserreihe;"Die Gebäude der westlichen Seite wurden 1874 vollständig abgerissen, die östliche Seite bis auf einige Ausnahmen1885. Die Hauptsynagoge links war 1860 am alten Ort neu errichtet und von Mylius für die Leipziger Illustrierte Zeitung photographiert worden. (Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 54)

";"links Hauptsynagoge; zerstört 1938, gegenüber der Einmündung Allerheiligenstraße in Kurt Schumacher; An Haus 41 befindet sich eine Gedenktafel ";50.11362, 8.68756;https://de.wikipedia.org/wiki/Frankfurter_Judengasse#/media/File:Frankfurt-Ravenstein1861-Bl5%2B6-Crop-Judengasse.jpg;;;;;
Carl Friedrich Mylius;Architektur, Dokumentarfotografie;C02755;;;;1871;1880;August 1876;Frankfurt am Main-Innenstadt, Bleichgartenplatz, Landwirtschaftliche Halle;Fotografie;"Bildmaß: 27,5 x 20,3 cm; Objektmaß: 52,7 x 36,4 cm";"Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Bierbrauer-Ausstellung in Frankfurt, Eingang zur Bierbrauer-Ausstellung auf dem Bleichgartenplatz und in der Landwirtschaftlichen Halle;"Die Ausstellung fand im August 1876 in der Landwirtschaftlichen Halle und auf einem davorliegenden Außengelände statt. Der Torbogen ist ein typisches Beispiel für derartige Schauarchitekturen, die nach der Veranstaltung wieder abgetragen wurden.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 270)";es gibt eine Straße im Bleichgarten?;;;;;;;
Carl Friedrich Mylius;Architektur, Dokumentarfotografie;C02756;;;;1871;1880;August 1876;Frankfurt am Main-Innenstadt, Bleichgartenplatz, Landwirtschaftliche Halle;Architekturfotografie;"Bildmaß: 22 x 29,1 cm; Objektmaß: 36,3 x 52,6 cm";"Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Bierbrauer-Ausstellung in Frankfurt, Inneres der Landwirtschaftlichen Halle;"Zu sehen sind zahlreiche Stände einheimischer und auswärtiger Firmen.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 272)";;;;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C02763;ja;;;1871;1880;1879;Frankfurt am Main-Innenstadt, Schillerplatz, Biebergasse;Architekturfotografie;"Bildmaß: 21,4 x 28,5 cm; Objektmaß: 36,4 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Schillerplatz, Häuserreihe nach Westen mit der Biebergasse;"Der Schillerplatz schließt sich nördlich an die Hauptwache an, wurde ursprünglich für Paraden des städtischen Militärs genutzt und hieß deshalb Paradeplatz. Nach der Aufstellung des Schillerdenkmals im Jahr 1864 wurde er in Schillerplatz umbenannt.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 60, zu dem identischen Motiv C27048)";https://de.wikipedia.org/wiki/An_der_Hauptwache#/media/File:Frankfurt-Ravenstein1861-Bl5-Hauptwache.jpg          Eckhaus Biebergasse;50.11383, 8.6782,;;;;;;
"Carl Friedrich Mylius; Jakob Heinrich Christoph Gustav Kaupert, des Börne-Denkmals";Dokumentarfotografie, Stadttopographie;C03088;ja;;;1871;1880;06.06.1877;Frankfurt am Main-Innenstadt, Bockenheimer Anlage (Börne-Denkmal);Dokumentarfotografie;"Bildmaß: 27,5 x 21,3 cm; Objektmaß: 53 x 36,3 cm Passepartout-Karton";"Papier; Passepartout-Karton; Albuminabzug";"recto, auf Kaschierkarton: ""Das Börne-Denkmal in der Bockenheimer Anlage. Von Kaupert  Am Tage der Enthüllung, 6. Juni 1877, 11 Uhr. Photo. v. C. F. Mylius"" (schwarze Tinte)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;;Das Börne-Denkmal in der Bockenheimer Anlage (von Prof. Jakob Kaupert) am Tage der Enthüllung, 6. Juni 1877, 11 Uhr;"Mylius fotografierte das Denkmal am 6. Juni 1877, dem Tag der Enthüllung zum 40. Todestag von Börne. Es wurde in der Bockenheimer Anlage errichtet zum Gedenken an den in Frankfurt geborenen Journalisten, Literatur- und Theaterkritiker, der zum Wegbereiter der literarischen Kritik in Deutschland wurde un 1830 ins Pariser Exil ging.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 273)";"1931 Büste zerstört; Gedenkplatte von Georg Mahr  steht seit 1960  am ursprünglichen Standort ";50.11722,8.67720,könnte es hier gewesen sein? ;http://www.ffmhist.de/ffm33-45/portal01/portal01.php?ziel=t_hm_boernedenkmal;https://www.kunst-im-oeffentlichen-raum-frankfurt.de/de/page128.html?id=22;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C03089;;;;1871;1880;1872;Frankfurt am Main-Gutleutviertel, Gutleuthöfe;Architekturfotografie;"Bildmaß: 21,6 x 32,1 cm; Objektmaß: 36,3 x 52,9 cm";"Papier; Albuminabzug; Tusche (aufgemalter Rauch aus Schornstein)";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die Gutleuthöfe unterhalb Frankfurt;"Der umfangreiche Komplex lag westlich der Stadt unmittelbar am Main und bildete die Kernzelle für die Entwickung dieses Gebiets zum Industriestandort. Er wurde 1873 von der Stiftung ""Allgemeiner Almosenkasten"", die den Hof an Gewerbebetriebe verpachtet hatte, an die Hessische Ludwigs-Eisenbahngesellschaft verkauft.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 238)";"s. Chronik; heute: Werner von Siemens Schule ";50.0959, 8.6456;http://www.fr.de/frankfurt/frankfurt-gutleutviertel-die-seele-entrissen-a-359392;http://www.gutleuthist.de/kleine_chronik_des_gutleuthofes.htm;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C03269;ja;;;1861;1870;1866;Frankfurt am Main-Innenstadt, Senckenberg-Institut;Architekturfotografie;"Bildmaß: 23,6 x 16,9 cm; Objektmaß: 53 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Das Senckenberghaus von der Schlimm-Mauer aus gesehen vor dem Abbruch 1866;"Der Blick geht von der Stiftstraße aus zum Eschenheimer Turm, im Vordergrund die sogenannte Schlimme Mauer, die Gartenmauer des Senckenbergischen Geländes. Mylius nahm auch dieses Gebäude kurz vor dem 1866 erfolgten Abriss auf.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 163)";"1866 abgerissen; ehem. Gelände des Senckenbergischen Stiftes; heute: könnte es das Mainova-Service Zentrum sein? ";50.11645,8.68126;;;;;;
Carl Friedrich Mylius;Stadttopographie;C03416;ja;;;1861;1870;1869;Frankfurt am Main-Innenstadt, Roßmarkt, Hauptwache;Fotografie;"Bildmaß: 21,1 x 30,2 cm; Objektmaß: 36,5 x 53 cm Passepartout-Karton";"Passepartout-Karton; Papier; Albuminabzug";"recto, unter Foto: ""C. F. Mylius photogr. [mit Bleistift ergänzt: ""1869""] Eingang des Rossmarkts mit der Hauptwache."" (schwarze Tinte, wahrscheinlich Vermerk des Schenkers, Ferdinand Prestel)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;;Eingang des Roßmarkts mit der Hauptwache;"Vom Roßmarkt sieht man über die Hauptwache, die nach der Einverleibung der Freien Stadt Frankfurt durch Preußen im Jahre 1866 ihre militärische Bedeutung verloren hatte, zu den Häusern am Schillerplatz. Die Straßenbeleuchtung durch Gaslaternen war bereits installiert.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 55, zu dem identischen Motiv in Privatbesitz)";Blick auf Hauptwache von der Straße Roßmarkt;50.1123, 8.67724;https://de.wikipedia.org/wiki/Roßmarkt_(Frankfurt_am_Main);;;;;
